"table_name"
"store_type_summary"
"sales_by_store_type"
"store_sales_summary2"
"td_store_sales_by_type"
"Store Type Summary"
"dim_stores"
"store_type_table"
"dim_users"
"dim_date"
"orders"
"store_type_view"
"store_summary_q4"
"example"
"dim_products"
"store_sales"
"store_types_view"
"store_performance"
"store_summary_question4"
"example2"
"view_name"
"store_sales_summary"
"view_name2"
"view_name3"
"view_name4"
"total_sales_by_store_type"
"total_sales_by_store_type2"
"q4_view"
"store_typess_view"
"Summary Store Data"
"salessummary"
"sales_by_store_type333"
"d"
"temp1"
"store_sales_by_type"
"store_type_sales_summary"
"Store Type Revenue Summary"
